catalog_model_id,site_no,station_name,production_gis_channel,v3_gis_channel,same_gis_as_production,v1b_nhdplusid,mapping_method,assignment_class,calibration_eligible,swat_nhd_ratio,notes
02294405,02294217,SADDLE CREEK AT ST.HWY 542 NEAR LAKELAND FL,17,17,True,15000700057875,exact_crosswalk,tributary_clean,True,1.1373948943860086,
02294405,02294260,LAKE PARKER OUTLET AT LAKELAND FL,44,44,True,15000700021204,lake_outlet_replacement,lake_outlet_review,False,1.2199605022733666,Mapped at downstream step 1 to NHD 15000700093457 (ref 15000700021204).
02294405,02294261,LAKE PARKER OUTLET AT COMBEE SETTLEMENT FL,44,44,True,15000700093457,exact_crosswalk,lake_outlet_review,False,1.169979946469084,
02294405,02294290,SADDLE CREEK AT STATE HWY 570 NEAR EATON PARK FL,14,6,False,15000700045993,lake_outlet_replacement,lake_outlet_review,False,2.5544592230229544,Mapped at downstream step 8 to NHD 15000700045991 (ref 15000700045993).
02294405,02294330,LAKE LENA RUN NEAR AUBURNDALE FL,84,76,False,15000700046384,exact_crosswalk,lake_outlet_review,False,1.3044969261771397,
02294405,02294405,"BANANA-HANCOCK CANAL NR HIGHLAND CITY, FL",31,32,False,15000700057695,exact_crosswalk,canal_or_artificial_review,False,1.4724923666127523,
02294405,02294491,SADDLE CREEK AT STRUCTURE P-11 NEAR BARTOW FL,5,6,False,15000700045991,exact_crosswalk,tributary_clean,True,1.225978952536539,
02294405,280242081531600,TENOROC DITCH (SITE 20) NEAR LAKELAND FL,247,247,True,15000700045798,exact_crosswalk,canal_or_artificial_review,False,0.9997691465753051,
02294405,280441081520200,TENOROC DITCH (SITE 17B) NEAR LAKELAND FL,476,476,True,15000700009684,exact_crosswalk,canal_or_artificial_review,False,1.5380350896957704,
02294405,280531081520500,TENOROC DITCH ABV STR (SITE 17A) NEAR LAKELAND FL,153,153,True,15000700081951,exact_crosswalk,canal_or_artificial_review,False,1.2040836812435984,
02294405,280531081520501,TENOROC DITCH BEL STR (SITE 17A) NEAR LAKELAND FL,153,153,True,15000700081951,exact_crosswalk,canal_or_artificial_review,False,1.2040836812435984,
02294405,280557081512300,TENOROC DITCH (SITE 13) NEAR LAKELAND FL,237,237,True,15000700070177,exact_crosswalk,canal_or_artificial_review,False,0.9999963888480041,
