soil_scale,koc_scale,kl,lm,percop,kh,kv,rch,ghb,drn,pump,sfrk,t_kf,t_n,t_alh,t_ath,t_cap,t_bg
5.000000000000000278e-02,5.000000000000000000e-01,1.366666666666666863e-01,3.500000000000000000e+03,3.000000000000000444e-01,2.666666666666666075e-01,2.666666666666666075e-01,2.200000000000000289e-01,5.000000000000000000e-01,-2.000000000000000000e+00,-1.133333333333333304e+00,-6.666666666666665186e-01,-1.866666666666666696e+00,7.333333333333333925e-01,1.733333333333333570e+01,3.366666666666666696e+00,6.000000000000000000e+00,5.000000000000000000e+00
5.000000000000000278e-02,5.000000000000000000e-01,1.366666666666666863e-01,3.500000000000000000e+03,3.000000000000000444e-01,2.666666666666666075e-01,2.666666666666666075e-01,2.200000000000000289e-01,5.000000000000000000e-01,-2.000000000000000000e+00,-1.133333333333333304e+00,-6.666666666666665186e-01,-1.866666666666666696e+00,7.333333333333333925e-01,1.733333333333333570e+01,3.366666666666666696e+00,6.000000000000000000e+00,1.500000000000000000e+01
5.000000000000000278e-02,5.000000000000000000e-01,1.366666666666666863e-01,3.500000000000000000e+03,3.000000000000000444e-01,2.666666666666666075e-01,2.666666666666666075e-01,2.200000000000000289e-01,5.000000000000000000e-01,-2.000000000000000000e+00,-1.133333333333333304e+00,-6.666666666666665186e-01,-1.866666666666666696e+00,7.333333333333333925e-01,5.000000000000000000e+01,3.366666666666666696e+00,6.000000000000000000e+00,1.500000000000000000e+01
5.000000000000000278e-02,5.000000000000000000e-01,1.366666666666666863e-01,3.500000000000000000e+03,3.000000000000000444e-01,2.666666666666666075e-01,2.666666666666666075e-01,2.200000000000000289e-01,5.000000000000000000e-01,-2.000000000000000000e+00,-1.133333333333333304e+00,-6.666666666666665186e-01,-1.866666666666666696e+00,7.333333333333333925e-01,5.000000000000000000e+01,3.366666666666666696e+00,4.666666666666666963e+00,1.500000000000000000e+01
5.000000000000000278e-02,5.000000000000000000e-01,1.366666666666666863e-01,3.500000000000000000e+03,3.000000000000000444e-01,2.666666666666666075e-01,2.666666666666666075e-01,-2.999999999999999889e-01,5.000000000000000000e-01,-2.000000000000000000e+00,-1.133333333333333304e+00,-6.666666666666665186e-01,-1.866666666666666696e+00,7.333333333333333925e-01,5.000000000000000000e+01,3.366666666666666696e+00,4.666666666666666963e+00,1.500000000000000000e+01
5.000000000000000278e-02,5.000000000000000000e-01,1.366666666666666863e-01,3.500000000000000000e+03,3.000000000000000444e-01,2.666666666666666075e-01,2.666666666666666075e-01,-2.999999999999999889e-01,5.000000000000000000e-01,-2.000000000000000000e+00,-1.133333333333333304e+00,1.000000000000000000e+00,-1.866666666666666696e+00,7.333333333333333925e-01,5.000000000000000000e+01,3.366666666666666696e+00,4.666666666666666963e+00,1.500000000000000000e+01
5.000000000000000278e-02,5.000000000000000000e-01,1.366666666666666863e-01,3.500000000000000000e+03,1.000000000000000056e-01,2.666666666666666075e-01,2.666666666666666075e-01,-2.999999999999999889e-01,5.000000000000000000e-01,-2.000000000000000000e+00,-1.133333333333333304e+00,1.000000000000000000e+00,-1.866666666666666696e+00,7.333333333333333925e-01,5.000000000000000000e+01,3.366666666666666696e+00,4.666666666666666963e+00,1.500000000000000000e+01
1.633333333333333304e-01,5.000000000000000000e-01,1.366666666666666863e-01,3.500000000000000000e+03,1.000000000000000056e-01,2.666666666666666075e-01,2.666666666666666075e-01,-2.999999999999999889e-01,5.000000000000000000e-01,-2.000000000000000000e+00,-1.133333333333333304e+00,1.000000000000000000e+00,-1.866666666666666696e+00,7.333333333333333925e-01,5.000000000000000000e+01,3.366666666666666696e+00,4.666666666666666963e+00,1.500000000000000000e+01
1.633333333333333304e-01,5.000000000000000000e-01,1.366666666666666863e-01,2.166666666666666970e+03,1.000000000000000056e-01,2.666666666666666075e-01,2.666666666666666075e-01,-2.999999999999999889e-01,5.000000000000000000e-01,-2.000000000000000000e+00,-1.133333333333333304e+00,1.000000000000000000e+00,-1.866666666666666696e+00,7.333333333333333925e-01,5.000000000000000000e+01,3.366666666666666696e+00,4.666666666666666963e+00,1.500000000000000000e+01
1.633333333333333304e-01,5.000000000000000000e-01,1.366666666666666863e-01,2.166666666666666970e+03,1.000000000000000056e-01,2.666666666666666075e-01,2.666666666666666075e-01,-2.999999999999999889e-01,-1.166666666666666519e+00,-2.000000000000000000e+00,-1.133333333333333304e+00,1.000000000000000000e+00,-1.866666666666666696e+00,7.333333333333333925e-01,5.000000000000000000e+01,3.366666666666666696e+00,4.666666666666666963e+00,1.500000000000000000e+01
