usgs_site_no,n_candidates_500m,gage_mode,nhd_target_rule,target_nhdplusid,target_nhd_totdasqkm,usgs_da_km2,usgs_da_source,current_gis_channel,current_chandeg_km2,current_nhd_totdasqkm,current_pct_vs_nhd_tda,current_ratio_swat_nhd,current_log_err_usgs,improved_gis_channel,improved_chandeg_km2,improved_nhd_totdasqkm,improved_pct_vs_nhd_tda,improved_ratio_swat_nhd,improved_log_err_usgs,improved_pick_rule,improved_dist_m,channel_changed
02293681,2,cumulative,da_distance,15000700083740,128.90979999,392.5603807388909,meta_drainage_area_sqkm,965,132.4416161,128.90979999,2.7397576524623957,1.027397576524624,1.0865484465569137,990,132.0604201,128.52809995,2.748286290215228,1.0274828629021522,1.08943081577715,composite_cumulative,443.77290554784724,True
02293694,1,cumulative,da_distance,15000700023411,78.53100002,392.5603807388909,meta_drainage_area_sqkm,1008,9.800630700000001,78.53100002,87.52004851905106,0.12479951480948939,3.6902436209197536,1008,9.800630700000001,78.53100002,87.52004851905106,0.12479951480948939,3.6902436209197536,exact_nhd_crosswalk,462.03890009166713,False
02293986,5,cumulative,da_distance,15000700011003,381.1186998,593.0547223889886,meta_drainage_area_sqkm,481,399.0714684,381.1186998,4.710545194822795,1.047105451948228,0.3961461556816479,481,399.0714684,381.1186998,4.710545194822795,1.047105451948228,0.3961461556816479,exact_nhd_crosswalk,417.41695408056256,False
02293987,2,cumulative,da_distance,15000700022809,386.91189983,593.0547223889886,meta_drainage_area_sqkm,470,404.8491684,386.91189983,4.6360085016463,1.046360085016463,0.38177210129274286,470,404.8491684,386.91189983,4.6360085016463,1.046360085016463,0.38177210129274286,exact_nhd_crosswalk,291.9439612903527,False
02294068,2,cumulative,da_distance,15000700047004,38.68320001,82.82009317162974,meta_drainage_area_sqkm,1415,30.8433744,38.68320001,20.266745274365427,0.7973325472563457,0.9877487440542709,1415,30.8433744,38.68320001,20.266745274365427,0.7973325472563457,0.9877487440542709,exact_nhd_crosswalk,401.7250369671317,False
02294161,1,cumulative,da_distance,15000700010307,514.3665999,593.0547223889886,meta_drainage_area_sqkm,451,590.6192902,514.3665999,14.824580428594047,1.1482458042859405,0.004115044513613775,4569,6.0266997,5.66139998,6.45246266454398,1.0645246266454398,4.589087127853059,composite_cumulative,487.447619080953,True
02294217,4,cumulative,da_distance,15000700057875,106.14489989,159.4730888687525,meta_drainage_area_sqkm,947,120.7286672,106.14489989,13.739489438600852,1.1373948943860086,0.278329578390057,947,120.7286672,106.14489989,13.739489438600852,1.1373948943860086,0.278329578390057,exact_nhd_crosswalk,497.41306051761796,False
02294260,1,cumulative,da_distance,15000700093457,52.17359997,159.4730888687525,meta_drainage_area_sqkm,1392,61.0420657,52.17359997,16.997994646908403,1.169979946469084,0.9603119580170656,1392,61.0420657,52.17359997,16.997994646908403,1.169979946469084,0.9603119580170656,exact_nhd_crosswalk,727.0850388713703,False
02294261,2,cumulative,da_distance,15000700070386,52.34249999,159.4730888687525,meta_drainage_area_sqkm,1392,61.0420657,52.17359997,16.997994646908403,1.169979946469084,0.9603119580170656,1357,61.207763699999994,52.34249999,16.937027676732477,1.1693702767673249,0.957601146848126,exact_nhd_crosswalk,467.80819953811107,True
02294290,1,cumulative,da_distance,15000700045993,135.26619994,159.4730888687525,meta_drainage_area_sqkm,897,,,,,12.0,8819,0.01,0.0024000000000000002,316.66666666666663,4.166666666666666,9.67704537215186,composite_cumulative,154.20262515880344,True
02294330,2,cumulative,da_distance,15000700046384,48.74330006,54.90073831050262,meta_drainage_area_sqkm,2232,59.8350959,44.99320008,32.986975350965075,1.3298697535096506,0.08606558006127152,2200,62.405678900000005,47.56600006,31.198080186017652,1.3119808018601766,0.12812948254343048,composite_cumulative,75.82184587233695,True
02294405,1,cumulative,da_distance,15000700021579,37.67129995,369.9183661447064,meta_drainage_area_sqkm,1163,,,,,12.0,1181,48.5323176,32.95929996,47.24923666127524,1.4724923666127523,2.0310524309500644,composite_cumulative,53.480038654128975,True
02294491,7,cumulative,da_distance,15000700021939,288.0597999,369.9183661447064,meta_drainage_area_sqkm,755,335.7032922,282.29019988,18.921341351100978,1.1892134135110097,0.09705463834569539,751,349.0225159,288.0597999,21.16321542303481,1.211632154230348,0.05814591365993316,exact_nhd_crosswalk,419.4074288496169,True
02294650,4,cumulative,da_distance,15000700010251,856.94659979,1448.2658499695908,meta_drainage_area_sqkm,437,1002.195074,856.94659979,16.949536207459595,1.169495362074596,0.3681742068119451,439,987.6217969,842.36539974,17.243870320983515,1.1724387032098351,0.38282232633629576,composite_cumulative,89.6195861625139,True
02294655,1,cumulative,distance_only,15000700058476,865.3414998,1448.2658499695908,meta_drainage_area_sqkm,429,1010.5668988000001,,,,0.3598554158250371,5988,3.0432297999999998,3.04979997,0.21542953848216687,0.9978457046151783,6.165202768494042,composite_cumulative,726.8448546628098,True
02294705,1,cumulative,distance_only,15000700058476,865.3414998,1448.2658499695908,meta_drainage_area_sqkm,429,1010.5668988000001,,,,0.3598554158250371,429,1010.5668988000001,,,,0.3598554158250371,composite_cumulative,621.1663598718706,False
02294747,2,cumulative,da_distance,15000700058475,891.56249983,1448.2658499695908,meta_drainage_area_sqkm,2896,22.98132,13.19030001,74.22894083210471,1.742289408321047,4.143440442114713,2511,29.033372399999998,19.2412,50.891692825811276,1.5089169282581127,3.909676213369665,composite_cumulative,321.6916418871517,True
02294760,2,tributary,nhd_local_vs_usgs,15000700060284,910.65249984,83.81896744390077,meta_drainage_area_sqkm,427,1046.57317,891.56249983,17.38640535010802,1.1738640535010803,2.524617134529474,6097,4.8749626,4.06050003,20.058184065571844,1.2005818406557185,2.8445468910637417,composite_tributary,238.1808516590054,True
02294775,2,cumulative,da_distance,15000700058475,891.56249983,1448.2658499695908,meta_drainage_area_sqkm,2615,23.0057672,13.21590001,74.07643204467617,1.7407643204467615,4.142377221815646,2511,29.033372399999998,19.2412,50.891692825811276,1.5089169282581127,3.909676213369665,composite_cumulative,125.319678215697,True
